conference;""year"";""program chair"";""affiliation""",,,,
"PPoPP;""2017"";""Lawrence Rauchwerger"";""Texas A&M""",,,,
"PPoPP;""2018"";""Thomas Gross"";""ETH Zurich""",,,,
"RTAS;""1995"";""Wei Zhao"";""Texas A&M University""",,,,
"RTAS;""1996"";""Kevin Jeffay"";""University of North Carolina"," Chapel Hill""",,,
"RTAS;""1997"";""Raj Rajkumar"";""Carnegie Mellon University""",,,,
"RTAS;""1998"";""Azer Bestavros"";""Boston University""",,,,
"RTAS;""1999"";""Victor Fay Wolfe"";""University of Rhode Island""",,,,
"RTAS;""2000"";""Jennifer C. Hou"";""Ohio State University""",,,,
"RTAS;""2001"";""Daniel Mossé"";""University of Pittsburgh"," USA""",,,
"RTAS;""2001"";""Tei-Wei Kuo"";""National Taiwan University"," Taiwan""",,,
"RTAS;""2006"";""Steve Goddard"";""University of Nebraska"," USA""",,,
"RTAS;""2006"";""Steven Liu"";""Texas A&M University"," USA""",,,
"RTAS;""2007"";""Scott Brandt"";""University of California"," Santa Cruz""",,,
"RTAS;""2007"";""Frank Mueller"";""North Carolina State University""",,,,
"RTAS;""2008"";""Christopher Gill"";""Washington University"," St. Louis""",,,
"RTAS;""2008"";""Chenyang Lu"";""Washington University"," St. Louis""",,,
"RTAS;""2009"";""Neil Audsley"";""University of York"," United Kingdom""",,,
"RTAS;""2010"";""Marco Caccamo"";""University of Illinois", Urbana Champaign," USA""",,
"RTAS;""2011"";""Hakan Aydin"";""George Mason University"," USA""",,,
"RTAS;""2012"";""Marco Di Natale"";""Scuola Superiore Sant'Anna""",,,,
"RTAS;""2013"";""Eduardo Tovar"";""CISTER-ISEP", Polytechnic Institute of Porto," Portugal""",,
"RTAS;""2014"";""Richard West"";""Boston University"," USA""",,,
"RTAS;""2015"";""James H. Anderson"";""University of North Carolina", Chapel Hill," USA""",,
"RTAS;""2016"";""David Culler"";""University of California", Berkeley," USA""",,
"RTAS;""2016"";""Suman Nath"";""Microsoft Research"," USA""",,,
"RTAS;""2016"";""Niki Trigoni"";""University of Oxford"," UK""",,,
"RTAS;""2017"";""Gabriel Parmer"";""The George Washington University"," USA""",,,
"RTAS;""2018"";""Rodolfo Pellizzoni"";""University of Waterloo"," Canada""",,,
"SC;""1988"";""Stephen F. Lundstrom"";",,,,
"SC;""1989"";""Gary Johnson"";""Institute for Scientific Computing""",,,,
"SC;""1990"";""Daniel V. Pryor"";""Supercomputing Research Center""",,,,
"SC;""1992"";""Ann Hayes"";",,,,
"SC;""1994"";""David C. Bader"";""Battelle-Pacific Northwest Laboratories""",,,,
"SC;""1994"";""Julie M. Swisshelm"";""Sandia National Laboratories""",,,,
"SC;""1994"";""Larry Smarr"";""NCSA/University of Illinois""",,,,
"SC;""1995"";""Larry Smarr"";""NCSA/University of Illinois""",,,,
"SC;""1995"";""James Bottum"";""NCSA/University of Illinoi""",,,,
"SC;""1996"";""Bill Buzbee"";""National Center for Atmospheric Research""",,,,
"SC;""1996"";""Margaret L. Simmons"";""NCO/HPCC""",,,,
"SC;""1997"";""Greg Papadopoulos"";""Sun Microsystems""",,,,
"SC;""1997"";""Margaret L. Simmons"";""NCO/HPCC""",,,,
"SC;""1997"";""Joanne Martin"";""IBM Corporation""",,,,
"SC;""1998"";""Joanne L. Martin"";""IBM Corporation""",,,,
"SC;""1999"";""David Bailey"";""NERSC"," Lawrence Berkeley Laboratory""",,,
"SC;""1999"";""Jim McGraw"";""Lawrence Livermore National Laboratory""",,,,
"SC;""2000"";""Jed Donnelley"";""Lawrence Berkeley National Laboratory""",,,,
"SC;""2000"";""Tom DeBoni"";""LawrenceBerkeley National Laboratory""",,,,
"SC;""2001"";""Sally D. Haerer"";""Oregon State University""",,,,
"SC;""2002"";""Dan Reed"";""National Center for Supercomputing Applications""",,,,
"SC;""2002"";""Robert F. Lucas"";""University of Southern California"," Information Sciences Institute""",,,
"SC;""2004"";""John Grosh"";""Department of Defense""",,,,
"SC;""2004"";""Jack Dongarra"";""University of Tennessee/Oak Ridge NationalLaboratory""",,,,
"SC;""2004"";""Jeffery A. Kuehn"";""National Center for Atmospheric Research""",,,,
"SC;""2005"";""Jeffery A. Kuehn"";""Oak Ridge National Laboratory""",,,,. 
"SC;""2005"";""Wes Kaplow"";""Qwest Communications""",,,,
"SC;""2006"";""Jeff Hollingsworth"";""University of Maryland""",,,,
"SC;""2006"";""Barbara Mason-Fossum"";""Purdue University""",,,,
"SC;""2007"";""Harvey Wasserman"";""Lawrence Berkeley National Laboratory""",,,,
"SC;""2007"";""Wilfred Pinfold"";""Intel Corporation""",,,,
"SC;""2008"";""Adolfy Hoisie"";""Los Alamos National Laboratory""",,,,
"SC;""2008"";""William D. Gropp"";""University of Illinois at Urbana-Champaign""",,,,
"SC;""2009"";""William D. Gropp"";""University of Illinois at Urbana-Champaign""",,,,
"SC;""2009"";""Ricky A. Kendall"";""Oak Ridge National Laboratory""",,,,
"SC;""2010"";""Ricky A. Kendall"";""Oak Ridge National Laboratory""",,,,
"SC;""2010"";""Jim Costa"";""Sandia National Laboratories""",,,,
"SC;""2010"";""William T. Kramer"";""National Center for Supercomputing Applications""",,,,
"SC;""2011"";""Jim Costa"";""Sandia National Laboratories""",,,,
"SC;""2011"";""William T. Kramer"";""National Center for Supercomputing Applications""",,,,
"SC;""2012"";""Rajeev Thakur"";""Argonne National Laboratory""",,,,
"SC;""2012"";""Satoshi Matsuoka"";""Tokyo Institute of Technology""",,,,
"SC;""2013"";""Satoshi Matsuoka"";""Tokyo Institute of Technology""",,,,
"SC;""2013"";""Jack Dongarra"";""University of Tennessee"," Knoxville""",,,
"SC;""2014"";""Jack Dongarra"";""University of Tennessee"," Knoxville""",,,
"SC;""2014"";""Michela Taufer"";""University of Delaware""",,,,
"SC;""2015"";""Jeffrey S. Vetter"";""Oak Ridge National Laboratory / Georgia Institute of Technology""",,,,
"SC;""2015"";""Lori A. Freitag"";""Lawrence Livermore National Laboratory""",,,,
"SC;""2016"";""Lori A. Freitag"";""Lawrence Livermore National Laboratory""",,,,
"SC;""2017"";""Padma Raghavan"";""Vanderbilt University""",,,,
"SC;""2018"";""David E. Keyes"";""King Abdullah University of Science and Technology""",,,,
"SIGMETRICS;""1976"";""Peter Pin-Shan Chen"";",,,,
"SIGMETRICS;""1976"";""Mark Franklin"";",,,,
"SIGMETRICS;""1981"";""Stephen W. Sherman"";",,,,
"SIGMETRICS;""1982"";""Edward Lazowska"";",,,,
"SIGMETRICS;""1983"";""Steven Bruell"";",,,,
"SIGMETRICS;""1983"";""Larry Dowdy"";",,,,
"SIGMETRICS;""1984"";""James P. Bouhana"";",,,,
"SIGMETRICS;""1984"";""Ray Bryant"";",,,,
"SIGMETRICS;""1985"";""Jeffrey A. Brumfield"";",,,,
"SIGMETRICS;""1985"";""Daniel A. Reed"";",,,,
"SIGMETRICS;""1986"";""W.J. Stewart"";",,,,
"SIGMETRICS;""1986"";""Kishor Trivedi"";",,,,
"SIGMETRICS;""1987"";""Derek Eager"";",,,,
"SIGMETRICS;""1988"";""Kenneth C. Sevcik"";",,,,
"SIGMETRICS;""1989"";""Alan Jay Smith"";",,,,
"SIGMETRICS;""1990"";""Mary Vernon"";",,,,
"SIGMETRICS;""1991"";""John Zahorjan"";",,,,
"SIGMETRICS;""1992"";""Philip Heidelberger"";",,,,
"SIGMETRICS;""1992"";""Don Towsley"";",,,,
"SIGMETRICS;""1993"";""Richard Muntz"";",,,,
"SIGMETRICS;""1994"";""Rick Bunt"";",,,,
"SIGMETRICS;""1995"";""Satish Tripathi"";",,,,
"SIGMETRICS;""1995"";""Isi Mitrani"";",,,,
"SIGMETRICS;""1996"";""David Nicol"";",,,,
"SIGMETRICS;""1997"";""Albert Greenberg"";",,,,
"SIGMETRICS;""1998"";""Garth Gibson"";",,,,
"SIGMETRICS;""1998"";""Guy Latouche"";",,,,
"SIGMETRICS;""1999"";""Carey Williamson"";""University of Saskatchewan""",,,,
"SIGMETRICS;""2000"";""James F. Kurose"";""Univ. Massachusetts""",,,,
"SIGMETRICS;""2000"";""Philippe Nain"";""INRIA""",,,,
"SIGMETRICS;""2001"";""Ernst Biersack"";""Institute Eurécom""",,,,
"SIGMETRICS;""2001"";""Leana Golubchik"";""University of Maryland""",,,,
"SIGMETRICS;""2002"";""Margaret Martonosi"";",,,,
"SIGMETRICS;""2002"";""Edmundo de Souza e Silva"";",,,,
"SIGMETRICS;""2003"";""Jennifer Rexford"";",,,,
"SIGMETRICS;""2003"";""William H. Sanders"";",,,,
"SIGMETRICS;""2004"";""Zhen Liu"";""IBM Research""",,,,
"SIGMETRICS;""2004"";""Arif Merchant"";""HP Labs""",,,,
"SIGMETRICS;""2005"";""Sem Borst"";",,,,
"SIGMETRICS;""2005"";""John C.S. Lui"";",,,,
"SIGMETRICS;""2006"";""Peter Key"";""Microsoft Research", Cambridge," UniversityK.""",,
"SIGMETRICS;""2006"";""Evgenia Smirni"";""College of William and Mary""",,,,
"SIGMETRICS;""2007"";""Mostafa Ammar"";""Georgia Institute of Technology"," USA""",,,
"SIGMETRICS;""2007"";""Mor Harchol-Balter"";""Carnegie Mellon University"," USA""",,,
"SIGMETRICS;""2008"";""Vishal Misra"";""Columbia University""",,,,
"SIGMETRICS;""2008"";""Prashant Shenoy"";""University of Massachusetts""",,,,
"SIGMETRICS;""2009"";""Thomas Bonald"";""Orange Labs""",,,,
"SIGMETRICS;""2009"";""Jason Nieh"";""Columbia University""",,,,
"SIGMETRICS;""2010"";""Paul Barford"";""University of Wisconsin--Madison"," USA""",,,
"SIGMETRICS;""2010"";""Mark Squillante"";""IBM T.J. Watson Research Center"," USA""",,,
"SIGMETRICS;""2011"";""Kim Keeton"";""HP Labs"," USA""",,,
"SIGMETRICS;""2011"";""Dan Rubenstein"";""Columbia University"," USA""",,,
"SIGMETRICS;""2012"";""Martin Arlitt"";""HP Labs and University of Calgary""",,,,
"SIGMETRICS;""2012"";""Giuliano Casale"";""Imperial College London"," United Kingdom""",,,
"SIGMETRICS;""2013"";""John Douceur"";""Microsoft Research""",,,,
"SIGMETRICS;""2013"";""Jun Xu"";""Georgia Institute of Technology""",,,,
"SIGMETRICS;""2014"";""Marc Lelarge"";""INRIA""",,,,
"SIGMETRICS;""2014"";""Bianca Schroeder"";""University of Toronto""",,,,
"SIGMETRICS;""2015"";""Sudipta Sengupta"";""Microsoft Research""",,,,
"SIGMETRICS;""2015"";""Devavrat Shah"";""Massachusetts Institute of Technology""",,,,
"SIGMETRICS;""2016"";""Nidhi Hegde"";""Bell Labs""",,,,
"SIGMETRICS;""2016"";""Alexandre Proutière"";""KTH""",,,,
"SIGMETRICS;""2017"";""Augustin Chaintreau"";""Columbia University""",,,,
"SIGMETRICS;""2017"";""Leana Golubchik"";""University of Southern California""",,,,
"SIGMETRICS;""2017"";""Zhi-Li Zhang"";""University of Minnesota""",,,,
"SIGMETRICS;""2018"";""Aditya Akella"";""University of Wisconsin–Madison""",,,,
"SIGMETRICS;""2018"";""Adam Wierman"";""California Institute of Technology""",,,,
"USENIX;""1996"";""Robert Gray"";""U S West Advanced Technologies""",,,,
"USENIX;""1998"";""Fred Douglis"";""AT&T Labs""",,,,
"USENIX;""1999"";""Avi Rubin"";""AT&T Labs - Research""",,,,
"USENIX;""2000"";""Christopher Small"";""Osprey Partners LLC""",,,,
"USENIX;""2001"";""Yoonho Park"";""ReefEdge Inc.""",,,,
